epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.7370541095733643,0.5021714568138123,0.5944568514823914,0.7759562730789185,0.7759562730789185,0.5191816687583923
1,0.7516302466392517,0.7238820791244507,0.5482370257377625,0.7759562730789185,0.7759562730789185,0.5005766749382019
2,0.7518219947814941,0.7414447069168091,0.5225915908813477,0.7759562730789185,0.7759562730789185,0.4623343050479889
3,0.7573839426040649,0.7755334377288818,0.44198083877563477,0.7875683307647705,0.7952834367752075,0.34861648082733154
4,0.9056386947631836,0.8773452639579773,0.26994529366493225,0.9474043846130371,0.9390971660614014,0.18001055717468262
5,0.9566551446914673,0.9477229118347168,0.1547161340713501,0.9542349576950073,0.9487969875335693,0.12499725818634033
6,0.9627924561500549,0.9586194753646851,0.12297018617391586,0.9603825211524963,0.958905816078186,0.10349489748477936
7,0.9675872921943665,0.9655306935310364,0.10338079184293747,0.9535518884658813,0.951151430606842,0.11377261579036713
8,0.9725738167762756,0.9705607295036316,0.09100418537855148,0.9562841653823853,0.9525566697120667,0.11272043734788895
9,0.9756425023078918,0.9757209420204163,0.08066801726818085,0.9665300250053406,0.9680198431015015,0.08112125098705292
