epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.7424242496490479,0.0006816631648689508,0.32486212253570557,0.7759562730789185,0.0,0.290402889251709
1,0.7516302466392517,0.0006816631648689508,0.30581167340278625,0.7759562730789185,0.0,0.28886446356773376
2,0.7516302466392517,0.0003408315824344754,0.3026897609233856,0.7759562730789185,0.0,0.28628262877464294
3,0.7516302466392517,0.010224948637187481,0.2930600941181183,0.7793715596199036,0.001214328920468688,0.27234551310539246
4,0.8369773626327515,0.524075448513031,0.22717870771884918,0.8551912307739258,0.7580888271331787,0.1943029761314392
5,0.9207901954650879,0.8703303337097168,0.13711760938167572,0.9289617538452148,0.9035158157348633,0.11296134442090988
6,0.9526275396347046,0.936565101146698,0.0851031020283699,0.9467213153839111,0.9424595236778259,0.08231843262910843
7,0.9660529494285583,0.9555389881134033,0.06490074843168259,0.9535518884658813,0.9481991529464722,0.07247884571552277
8,0.9719984531402588,0.9666675925254822,0.05315285176038742,0.9549180269241333,0.9392672777175903,0.08045578002929688
9,0.9746835231781006,0.9680418968200684,0.04790418967604637,0.9624316692352295,0.9590811133384705,0.058625996112823486
