epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.7454928755760193,0.7126655578613281,0.5707091093063354,0.7759562730789185,0.7755919694900513,0.5217107534408569
1,0.7850019335746765,0.7789139747619629,0.474546879529953,0.7978141903877258,0.7612917423248291,0.43649595975875854
2,0.9292290210723877,0.9239650964736938,0.20369501411914825,0.937158465385437,0.933613121509552,0.17227567732334137
3,0.9641350507736206,0.9619755744934082,0.11144668608903885,0.9528688788414001,0.949681282043457,0.13368619978427887
4,0.9719984531402588,0.9717004895210266,0.08760648965835571,0.9631147384643555,0.9617876410484314,0.10149388015270233
5,0.9762178659439087,0.9755457639694214,0.07738856226205826,0.9637978076934814,0.9645860195159912,0.09615103900432587
6,0.9766014814376831,0.9764823913574219,0.07222548872232437,0.9644808769226074,0.9643768072128296,0.10199940949678421
7,0.9785193800926208,0.9791666269302368,0.06624600291252136,0.9658470153808594,0.9664390087127686,0.09166300296783447
8,0.9838895201683044,0.9833039045333862,0.05710762366652489,0.9644808769226074,0.9642467498779297,0.10721810162067413
9,0.9836977124214172,0.9831926822662354,0.053411293774843216,0.9706284403800964,0.9710838198661804,0.08221058547496796
