epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.762305498123169,0.42782145738601685,0.5060205459594727,0.9467213153839111,0.9412704110145569,0.15438656508922577
1,0.9682276248931885,0.9665354490280151,0.10316997766494751,0.9576502442359924,0.955348551273346,0.10065416246652603
2,0.9751766324043274,0.9735841155052185,0.07859331369400024,0.9542349576950073,0.9503318071365356,0.1218608096241951
3,0.9793846011161804,0.9781654477119446,0.06523962318897247,0.9535518884658813,0.9508457779884338,0.11781536042690277
4,0.9798479080200195,0.979157030582428,0.05906618759036064,0.9719945192337036,0.9671676158905029,0.07943398505449295
5,0.9803497791290283,0.9792929291725159,0.058853358030319214,0.9651639461517334,0.9626989960670471,0.0967254713177681
6,0.982164204120636,0.9820500612258911,0.050280019640922546,0.9754098653793335,0.9748178124427795,0.07225392758846283
7,0.983940064907074,0.9824888110160828,0.04773625358939171,0.9829235076904297,0.9806401133537292,0.053963448852300644
8,0.9841331243515015,0.9832613468170166,0.04582398757338524,0.9829235076904297,0.9813232421875,0.05081582069396973
9,0.9850210547447205,0.9846371412277222,0.04312871769070625,0.9808743000030518,0.979644775390625,0.055582161992788315
