experiment,precision-CLIMATE,recall-CLIMATE,f1-CLIMATE,precision-EMISSIONS,recall-EMISSIONS,f1-EMISSIONS,precision-MISC,recall-MISC,f1-MISC,accuracy,macro f1-score
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
SVM+CV1-1-linear,0.8117647058823529,0.8448979591836735,0.828,0.8536585365853658,0.7894736842105263,0.8203124999999999,0.8466666666666667,0.8466666666666667,0.8466666666666667,0.8348082595870207,0.8316597222222222
SVM+Tf-idf1-1-linear,0.8883720930232558,0.7795918367346939,0.8304347826086957,0.8461538461538461,0.8270676691729323,0.8365019011406843,0.8078078078078078,0.8966666666666666,0.8499210110584517,0.8407079646017699,0.8389525649359438
